hwid,name,available,location,description,brand,model,os,type
250,Nokia Lumia 800,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone (türkis)\n- Datenkabel\n- Stromnetzstecker\n- schwarze Schutzhülle\n\n\nDas Handy gehörte dem Roland. \nDas Handy von Roland wurde durch ein neues in der Gadget-O-Thek ersetzt.,Nokia,800,Windows Phone 7.5,mobile
174,Samsung GT-P1000 (Galaxy Tab),t,cologne,Tablet. Leihgerät bis 31.12.2010.\n\nBastandteile:\n- Geräte\n- Datenkabel\n- Netzadapter\n,Samsung,GT-P1000,Android OS 2.2,tablet
229,Apple iPod Touch 4G (1),t,cologne,iOS 6.1.3 (6.0) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nAltes Gerät von der Sevenval Entwicklungsabteilung\n\nZubehör:\n- Device\n- Aufladekabel\n\nUnique Device Identifier: \n37b6782101bd8f02a66b9fee9f66ec41a0d345d8,Apple,iPod Touch,iOS 6.13,mobile
265,BlackBerry 9700 Bold (3),t,cologne,Smartphone. WLAN-Unterstützung. Das Alte Dienst-Phone von den Admins.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Datenkabel,Research In Motion,BlackBerry 9700,BlackBerry OS 6.0,mobile
283,Apple iPad Mini,t,cologne,iOS 7.1 (7.0) Referenzgerät !!!! NICHT AKTUALISIEREN !!\n\nEntsperrungscode: 8809\n\nTablet. WLAN-Unterstützung.\nSerien Nr.: F4KJN8CFF193\nUDID: e752e5d9cc3d7ac4f07368b14446490f48809a8a\n\nBox-Inhalt:\n- Tablet\n- Stromnetzstecker\n- Ladekabel,Apple,iPad,iOS 7.11,tablet
270,Samsung GT-I9100 (Samsung Galaxy S II) (3),t,cologne,REFERENZGERÄT !!!! NICHT UPDATEN\n\nSmartphone. WLAN.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel\n- USB-Datenkabel,Samsung,GT-I9100 Galaxy S2,Android OS 4.03,mobile
281,Microsoft Surface,t,cologne,Tablet mit Windows 8 RT (ARM-Architektur) und WLAN.\n\nSeriennummer: 023894224452 EC\n\nAnmelde-PIN: 8809\nPasswd: Asdfg123\n\n\nZubehör:\nLadegerät mit Eurostecker\nKurzanleitung,Microsoft,Surface Tablet,Windows RT 8.1,tablet
279,Google Nexus 7 (8 GB),t,cologne,Tablet. WLAN-fähig.\n\nAndroid 4.4.2 - KitKat\n\nSeriennummer: C90KBC067726\n\nBox-Inhalt:\n- Tablet\n- USB-Ladekabel\n- Stromnetzstecker\n,Asus,Nexus 7,Android OS 4.42,tablet
277,Apple iPad 4,t,cologne,iOS 7.1 (7.0) Referenzgerät !!!! NICHT AKTUALISIEREN !!\n\nEntsperrungscode: 8809\n\nTablet 10 Zoll. WLAN UNterstützung.\n\nSerien-Nr.: DMPJFHNXF185\nUDID-Nr.: 9e5ed1dafbbdafab1cce415823290669b8c1852f\n\nBox-Inhalt:\n- Tablet\n- USB-Ladekabel\n- Stromnetzstecker\n- Stromnetzstecker-Adapter\n,Apple,iPad,iOS 7.1,tablet
271,Samsung GT-I9300 (Samsung Galaxy S III) (2),t,cologne,Smartphone. WLAN.\n\nBlue-Box-Inhalt:\n- Phone\n- Akku\n- Deckel\n- Ladekabel\n- Stromnetzstecker\n,Samsung,GT-i9300,Android OS 4.3,mobile
286,HTC Windows Phone 8X,t,cologne,IMEI: 353569054269847\nS/N: HT2ATW603354\nSIM-Fach-Öffner vermisst seit 14.01.2013 (v. Sebastian Thielen)\n\nZubehör:\n * Strom2USB Adapter\n * USB Kabel\n,HTC,Windows Phone 8X,Windows Phone 8.0,mobile
275,Amazon Kindle Fire HD,t,cologne,Tablet. WLAN.\n\nBox-Inhalt:\n- Tablet\n- Ladekabel\n,Amazon,Kindle Fire 2,Android OS 4.03,mobile
273,Apple iPhone 5 (16GB) (3),t,cologne,iOS 6.1.4 (6.0) Referenzgerät !!!! NICHT AKTUALISIEREN !!\n\nSmartphone. WLAN.\n\nSeriennummer: C38JHEEDDTWD\nUDID: 2001875559c482396fb28ea6592940a66dae831c\n\nBlue-Box-Inhalt:\n- Phone\n- Datenkabel\n- Stromnetzstecker\n- SIM-Fach-Öffner,Apple,iPhone,iOS 6.14,mobile
268,Google Galaxy Nexus (2),t,cologne,Smartphone. WLAN.\n\nACHTUNG: BITTE NICHT UPDATEN!\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Ladekabel\n- Stromnetzstecker,Samsung,Galaxy Nexus,Android OS 4.21,mobile
267,HTC Desire (2),t,cologne,Mareike hat es als Firmengerät\n\nSmartphone. WLAN.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Ladekabel\n- Stromnetzstecker,HTC,Desire,Android OS 2.2,mobile
276,Motorola Pro+,t,cologne,Smartphone. WLAN-Fähig.\n\nIMEI-Nr.: 35895604006928\n\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Micro-USB-Datenkabel\n- Stromnetzstecker,Motorola,MB632,Android OS 2.35,mobile
278,LG Smart TV SP820,t,cologne,TV-Box\n\nInhalt:\n- TV-Box\n- Fernbedienung\n- Stromnetzstecker-Kabel\n- Stromnetz-Adapter,Unspecified,Desktop,Unspecified Desktop 0.0,desktop
568,Google Nexus 5 (32 GB),t,cologne,Smartphone. \nWLAN-Unterstützung.\n\nIMEI-Nr.: 358240-05-214676-8\n\nBlue-Box-Inhalt:\n- Phone \n- Stromnetzstecker\n- USB-Kabel\n- SIM-Fach-Öffner,LG,Nexus 5,Android OS 4.42,mobile
285,Apple iPhone 5 (32GB) (4),f,cologne,Smartphone. WLAN-Unterstützung.\niPhone für die PM-Abteilung: Peter Michael Bayer\n\nSeriennummer: DNQJPP3DDTWG\nIMEI: 013411001931819\nUDID: 226c208e4abc798e49b7dca8ce53cc339c1a5140\n\nBox-Inhalt:\n- Phone\n- Stromnetzstecker\n- Datenkabel\n- SIM-Fach-Öffner\n- Kopfhörer\n,Apple,iPhone,iOS 6.0,mobile
2,Desktop PC (Windows 8),t,cologne,Hardware wurde kompett ersetzt und die HID wiederverwendet.\n\nDas Gerät steht Einsatzbereit beim Device Management. Wer mag darf da dran.\n\nWindows 8\nWindows Phone 8 SDK,Unspecified,Desktop,Windows NT 6.3,desktop
269,Samsung GT-I9000 (Galaxy S) (2),t,cologne,Smartphone. WLAN.\n\nDas Ladegerät wird recht Warm (Bemerkt von Seb. T. 5.12.12)\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladegerät\n- USB-Kabel,Samsung,GT-i9000,Android OS 2.36,mobile
282,Microsoft Surface (2),f,cologne,Tablet mit Windows 8 RT.\nWLAN-Unterstützung.\nSeriennummer: 011437524452 EC\nSales-Device.\n\nLokales Konto:\nWurst\n123\n\nZubehör:\n- Tablet\n- Tastatur\n- Stromnetzstecker\n- Ladekabel,Microsoft,Surface Tablet,Windows RT 8.1,tablet
389,Apple iPod 2G (2),f,berlin,,unspecified,unspecified,unspecified,unspecified
287,BlackBerry 9780,t,cologne,Ehemailige Firmengerät von Erwin\n\nZubehör:\n* Deckel\n* Akku\n* Usb Kabel,Research In Motion,BlackBerry 9780,BlackBerry OS 6.0,mobile
266,Apple iPhone 5 (16GB),t,cologne,iOS 6.1.4 (6.0) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nSmartphone. WLAN -Unterstützung\n\nUDID: 11e528f459a4b0e5b262900e9fbc34a1ee861f43\n\nBlue-Box-Inhalt:\n- Phone\n- Ladekabel (nicht in der Box. Ein Neues ist bestellt) Markus 29.10.2012; Das Kabel ist eingetroffen  Dimi 13.11.2012\n- Stromnetzstecker\n- SIM-Fach-Öffner,Apple,iPhone,iOS 6.14,mobile
272,Apple iPhone 5 (16GB) (2),t,cologne,iOS 7.1 (7.0) Referenzgerät !!!! NICHT AKTUALISIEREN !!\n\nSmartphone. WLAN.\n\nSeriennummer: C38JHDTJDTWD\nUDID: 8fc8e643d0468d688e97ee04bf8a745a12c59481\n\nBlue-Box-Inhalt:\n- Phone\n- Datenkabel\n- Stromnetzstecker\n- SIM-Fach-Öffner,Apple,iPhone,iOS 7.1,mobile
280,Samsung GT-P5110 (Galaxy Tab 2),t,cologne,REFERENZGERÄT !!!! NICHT UPDATEN\n\nSamsung Galaxy TAB 2 (Tablet 10.1 Zoll)\n\nBox-Zubehör:\n- Tablet\n- USB-Ladekabel\n- Stromnetzstecker,Samsung,GT-P5100,Android OS 4.03,tablet
299,HTC Nexus One,f,berlin,,unspecified,unspecified,unspecified,unspecified
284,Nokia Lumia 920,t,cologne,IMEI: 354149051079504\n\nWenn es mal nix mehr tut...\nEin Laaaaaaanges drücken auf Volume - UND Power belebt es wieder (hab bestimmt 1 Minute gedrückt)\n\nZubehör:\n* Strom2Usb Adapter\n* USB Kabel\n* Simfach Öffner,Nokia,Lumia 920,Windows Phone 8.1,mobile
297,HTC Flyer (1) (Tab),t,berlin,IMEI: 354672040701169\nSeriennummer: HT15ST403518\nVersion: Android 2.3.3\nLadegerät: NT 01\nUSB Datenkabel: USB 01,HTC,Flyer,Android OS 2.33,tablet
295,HTC Desire HD (2),t,berlin,IMEI: 356299045392873\nSeriennummer: HT11DRX20860\nVersion: Android 2.2.1,HTC,Desire HD,Android OS 2.21,mobile
274,Apple iPod Touch 5G,t,cologne,WLAN.\n\nUDID: 7d18b598d5d3733db0b7d4f66ba8f696d92cc57b\nSerien Nr.: CCQJH7YXDJFD\n\nBlue-Box-Inhalt:\n- iPod\n- Ladekabel\n\nDevice von der FITML Produktentwicklung\n\nMailaccount: \nName: Sevenval Fitml\nAdressen: fitml@hotmail.de  \nPasswort: Asdfg123,Apple,iPod Touch 5,iOS 7.1,mobile
393,HTC 7 Mozart (1),t,berlin,IMEI: 352629040237356\nSeriennummer: HT0ALRP01750\nVersion: WP 7,HTC,Mozart,Windows Phone 7.0,mobile
373,Apple iPhone 4 (5) (16GB),t,berlin,IMEI: 012417007831490\nSeriennummer: 7T0348XHA4S\nVersion: iOS 7.0.3,Apple,iPhone,iOS 4.21,mobile
321,Samsung Google Nexus S (2),t,berlin,IMEI:355921040145631\nSeriennummer: 3930F3DA37CE00EC\nVersion: Android 4.1.2,Samsung,Nexus S,Android OS 4.12,mobile
325,Asus Transformer Prime TF201 (Tab),t,berlin,Seriennummer: BCOKAS169358\nVersion: Android 4.1.1\nLadegerät: NT05,Asus,Eee Pad Transformer Prime TF201,Android OS 4.11,tablet
318,Samsung Galaxy SIII (1) GT-I9300,t,berlin,IMEI:351869055108032\nSeriennummer: R31C5113LBD\nVersion: Android 4.1.1\n\nDisplay:4.8 Zoll (12 19 cm) 1280 x 720 Pixel,Samsung,GT-i9300,Android OS 4.11,mobile
401,Nokia Lumia 800,t,berlin,IMEI: 351682059800714\nSeriennummer: \nVersion: WP 7.5,Nokia,800,Windows Phone 7.5,mobile
382,Nokia E7,t,berlin,IMEI: 354864042759937\nSeriennummer: 059116M4CS056B\nVersion: Symbian^3,Nokia,E7-00,Symbian Platform 3.0,mobile
332,Blackberry 8310,t,berlin,IMEI: 354005.02.685024.9\nVersion: RIM 4.5,Research In Motion,BlackBerry 8310,BlackBerry OS 2.7,mobile
378,Nokia C7,t,berlin,IMEI: 355960042795290\nSeriennummer: \nVersion: Symbian^3,Nokia,C7-00,Symbian Platform 3.0,mobile
349,Apple iPad 1 (6) (16GB16 GB  WiFi+3G) (3G),t,berlin,IMEI: 01 24360 958337 0\nSeriennummer: GB104HF3A90\nVersion: iOS 4.2.1,Apple,iPad,iOS 4.21,tablet
331,Samsung Galaxy Tab 2 7.0 GT-P3110 (Tablet 1),t,berlin,Seriennummer: R32C6000R7T\nVersion: Android 4.0.3\nLadegerät: NT 08,Samsung,GT-P3100,Android OS 4.03,tablet
335,BlackBerry 8800 TMobile,t,berlin,IMEI:354672017753920\nSeriennummer:\nVersion: RIM 4.5,Research In Motion,BlackBerry 8800,BlackBerry OS 2.3,mobile
341,Blackberry 9700,t,berlin,Modell: Bold 2\nIMEI: 354256048487110\nOS: 6.0,Research In Motion,BlackBerry 9700,BlackBerry OS 6.0,mobile
343,Apple iPad 1 (1) (32GB  WiFi),t,berlin,Seriennummer: GB014W1CZ39\nVersion: iOS 5.1,Apple,iPad,iOS 5.1,tablet
369,Apple iPhone 4 (2) (16GB),t,berlin,IMEI: 012339007466947\nSeriennummer: 86024K6AA4S\nVersion: iOS 5.1.1,Apple,iPhone,iOS 5.1,mobile
350,Blackberry 9800 (Qwerty-Sperre),t,berlin,Modell: Torch\nIMEI: 353490042004487\nOS: 6.0,Research In Motion,BlackBerry 9800,BlackBerry OS 6.0,mobile
348,Apple iPad 1 (5) (16GB WiFi+3G),t,berlin,IMEI: 01243600 765126 0\nSeriennummer: GB104GCEA90\nVersion: 4.3.2,Apple,iPad,iOS 4.32,tablet
302,HTC T-Mobile G2 Touch,t,berlin,IMEI:357988021769117\nSeriennummer: HT98RL901934\nVersion: Android 1.5,HTC,Hero,Android OS 1.5,mobile
326,Acer Iconia Tab A500,t,berlin,IMEI:\nSeriennummer: 11808374515\nVersion: Android 3.2.1\nLadegerät: NT03,Acer,Iconia Tab A500,Android OS 3.21,tablet
362,Apple iPhone 3GS (3) (16GB),t,berlin,IMEI: 011984003230135\nSeriennummer: 85941E1V3NP\nVersion: IOS 3.1.3,Apple,iPhone,iPhone OS 3.13,mobile
375,Apple iPhone 4 (7) (16GB),t,berlin,IMEI: 012420005316571\nSeriennummer:81035L8CA4S\nVersion:iOS 7.0.2,Apple,iPhone,iOS 4.02,mobile
357,BlackBerry 9860,t,berlin,Modell: Torch\nOS: 7.0\nIMEI: 356838041404156,Research In Motion,BlackBerry 9860,BlackBerry OS 7.0,mobile
361,Blackberry 9900,t,berlin,Modell: Bold 3\nOS: 7.0\nIMEI: 356841041725059,Research In Motion,BlackBerry 9900,BlackBerry OS 7.0,mobile
344,Apple iPad 1 (2) (16GB),f,berlin,IMEI: 012224006830279\nSeriennummer: GB027L67A90\nVersion: iOS 3.2,Apple,iPad,iPhone OS 3.2,tablet
359,Apple iPhone 3G (2) (8 GB),t,berlin,IMEI: 011714002801101\nSeriennummer: 85834DKGY7H\nVersion: iOS 4.2.1,Apple,iPhone,iOS 7.0,mobile
324,SonyEricsson Xperia X8,t,berlin,IMEI: 012560006916604\nSeriennummer: \nVersion: Android 2.1.1,Sony Ericsson,X8,Android OS 2.1,mobile
337,Blackberry 9105,t,berlin,Modell: Pearl 3G\nOS: 5.0\nIMEI: 351974043168294,Research In Motion,BlackBerry 9105,BlackBerry OS 4.0,mobile
338,Blackberry 9300,t,berlin,Modell: Curve 3G\nOS: 5.0\nIMEI: 35387204844493,Research In Motion,BlackBerry 9300,BlackBerry OS 4.0,mobile
360,Apple iPhone 3G (3) (16GB),t,berlin,IMEI: 011809003441780\nSeriennummer: 88917ULUY7K\nVersion: iOS 4.1,Apple,iPhone,iOS 4.1,mobile
320,Samsung Google Nexus S,t,berlin,IMEI: 355921040153270\nSeriennummer: R2BB272407E\nVersion: Android 4.1.2,unspecified,unspecified,unspecified,unspecified
345,Blackberry 9780,t,berlin,Modell: Bold\nOS: 6.0\nIMEI: 354262043773926,Research In Motion,BlackBerry 9780,BlackBerry OS 6.0,mobile
368,Apple iPhone 4 (1) (16GB),t,berlin,IMEI: 012339004634455\nSeriennummer: 84023AJTA4S\nVersion: iOS 6.1.3\nNur W-Lan,Apple,iPhone,iOS 4.1,mobile
339,Blackberry 9500 (3G),t,berlin,Modell: Storm\nOS: 4.7\nIMEI: 359484028942467,Research In Motion,BlackBerry 9500,BlackBerry OS 4.0,mobile
377,Apple iPhone 4 (9) (16GB),t,berlin,IMEI: 012419000279784\nSeriennummer: 81035UD1A4S\nVersion: iOS 4.3.3,Apple,iPhone,iOS 4.33,mobile
328,Motorola Xoom MZ601 (Tablet),f,berlin,IMEI: 355483040314139\nSeriennummer: \nVersion: Android 3.0.1,Motorola,XOOM,Android OS 3.01,tablet
367,Apple iPhone 3GS (10) (8GB),t,berlin,IMEI:012267006557004\nSeriennummer: 870380M4EDG\nVerion: iOS 4.3,Apple,iPhone,iOS 4.3,mobile
396,Apple iPad 3 (1) (YOC) (16GB),t,berlin,IMEI: 013117006322447\nSeriennummer: DLXH8JC5DVGG\nVersion: iOS 7.0.4 (11B554a),Apple,iPad,iOS 7.04,tablet
354,Blackberry 9810,t,berlin,Modell: Torch\nIMEI: 357696040952495,unspecified,unspecified,unspecified,unspecified
307,Motorola Backflip,f,berlin,,unspecified,unspecified,unspecified,unspecified
300,HTC One X,t,berlin,IMEI: 359188048061147\nSeriennummer: HT242W136155\nVersion: Android 4.0.4,HTC,One X,Android OS 4.04,mobile
313,Samsung Galaxy Note GT-N7000,t,berlin,IMEI: 359575040225979\nSeriennummer: R23BA84429F\nVersion: Android 4.0.4,Samsung,GT-N7000,Android OS 4.04,tablet
390,HTC HD7,t,berlin,IMEI: 352811040448924\nSeriennummer: HT0B3RG02400\nVersion: WP 7.5,generic,-,Vendor Specific 1.0,unspecified
308,Motorola Defy,t,berlin,IMEI: 354717042687294\nSeriennummer: L026NY4QWP\nVersion: Android 2.1-update 1,Motorola,MB525,Android OS 2.1,mobile
311,Samsung Galaxy Ace GT-S5830,t,berlin,IMEI:354890041079373\nSeriennummer: R24B225120R\nVersion: Android 2.3.6,Samsung,GT-S5830,Android OS 2.36,mobile
309,Motorola Milestone (1),t,berlin,IMEI:354635030162577\nSeriennummer: J286LW2DLT\nVersion: Android 2.1-update 1,Motorola,Milestone,Android OS 2.1,mobile
405,Samsung Omnia 2 i8000,t,berlin,IMEI: 352344031000249\nSeriennummer: R3WS946353X\nVersion: WinMob 6.5,Samsung,GT-i8000,Windows Mobile 6.5,mobile
314,Samsung Galaxy S i9000,f,berlin,Nr 01,unspecified,unspecified,unspecified,unspecified
364,Sony Ericsson K800i,f,berlin,,unspecified,unspecified,unspecified,unspecified
323,Nokia N95,t,berlin,IMEI:356962017378895\nSeriennummer:\nVersion: Android \nLadegerät: NT 12,Nokia,N95,Series60 3.1,mobile
305,LG P500 Optimus One,t,berlin,IMEI: 354043041933567\nSeriennummer: 010KPED193356\nVersion: Android 2.2,LG,P500,Android OS 2.2,mobile
316,Samsung Galaxy S i9000 (SWISS),t,berlin,IMEI: 354406045714608\nSeriennummer: RFBB186073Y\nVersion: Android 2.2\n\nZubehör:\n  * Deckel\n  * Akku,Samsung,GT-i9000,Android OS 2.2,mobile
400,LG GW910 Developer Device,f,berlin,IMEI: 351791040009929\nSeriennummer: 002KPPB0000992\nVersion: WP 7,LG,GW910,Windows Phone 7.0,mobile
322,SonyEricsson Xperia Arc,t,berlin,IMEI: 012682003491280\nSeriennummer: CB5A1DQ9NT\nVersion: Android 2.3.3,Sony Ericsson,X10,Android OS 1.6,mobile
416,Nokia E61,t,berlin,IMEI: 356211002775230\nSeriennummer: \nVersion: Symbian  S60 3rd OS v9.1,Nokia,E61,Series60 3.0,mobile
419,Nokia N70,f,berlin,,unspecified,unspecified,unspecified,unspecified
294,HTC Desire HD (1),t,berlin,IMEI: 352668043634904\nSeriennummer: HT0BNRX13043\nVersion: Android 2.3.3,HTC,Desire HD,Android OS 2.33,mobile
501,Apple iPad 4 (1) (16GB  WiFi+ 3G),t,berlin,IMEI: 990002367412044\nSeriennummer: DMPJJDN6F18P\nOS: iOS 6.0.1\n\nLadegerät: INT 13,unspecified,unspecified,unspecified,unspecified
424,Samsung Wave 1 GT-S8500,f,berlin,IMEI: 351781048762272\nSeriennummer: RVTZ822232L\nVersion: Bada 1.2\n,Samsung,GT-S8500,Bada 1.0,mobile
380,Apple iPhone 4S (2) (16GB),t,berlin,IMEI: 012939004654393\nSeriennummer: DNQGK6QNDTD2\nVersion: iOS 6.0,Apple,iPhone,iOS 7.0,mobile
431,Blackberry 9800,t,berlin,Modell: Torch\nIMEI: 353490040577732\nOS: 6.0\nKennwort: qwert,Research In Motion,BlackBerry 9800,BlackBerry OS 6.0,mobile
441,HTC Dream G1 Google Android  (T-Mobile),t,berlin,IMEI: 358280010691737\nSeriennummer: HT852KV12660D\nVersion: Android 1.6\n\n+Ladegetät,HTC,Dream,Android OS 1.6,mobile
356,Apple iPad 3 (2) (16GB  WiFi),t,berlin,Serienummer:DLXH5RRT5DJ8T\nVersion: iOS 6.0,Apple,iPad,iOS 6.0,tablet
436,Apple iPod 2G (3) (8GB),t,berlin,Seriennummer: 1A846Q92201\nVersion: iOS 2.2.1,Apple,iPod Touch,iPhone OS 2.21,mobile
384,Apple iPhone 5 (1) (16GB),t,berlin,IMEI:013348004966220\nSeriennummer:C38JHWH8DTWD\nVersion: iOS 6.0.1,Apple,iPhone,iOS 6.0,mobile
353,Apple iPad 2 (2) (16GB  WiFi+ 3G),t,berlin,IMEI: 01267000 284954 1\nSeriennummer: DLXFD5U8DKNV\nVersion: iOS 5.1.1,Apple,iPad,iOS 5.11,tablet
372,Apple iPhone 4 (4) (16GB),t,berlin,IMEI: 012431003267724\nSeriennummer: 66037HK2A4S\nVersion: iOS 6.1.3,Apple,iPhone,iOS 4.1,mobile
423,Samsung Wave 1 (Schwarz),f,berlin,Model: GT-S8500\n\nOS: Bada 2.0\n\nIMEI: 35636304151821 /0,Samsung,GT-S8500,Bada 1.0,mobile
317,Samsung Galaxy SII (1) GT-I9100,t,berlin,Seriennummer:R2AB544107H\nVersion: Android 4.1.2\nIMEI: 355310043488570,Samsung,GT-I9100 Galaxy S2,Android OS 4.03,mobile
310,Motorola Milestone (2),t,berlin,IMEI: 352784040122197\nSeriennummer: L536NU24XS\nVersion: Android 2.2,Motorola,Milestone 2,Android OS 2.2,mobile
440,HTC Wildfire Jennifer A3333,t,berlin,IMEI: 359028039826670\nSeriennummer: HT09XPY08773\nVersion: Android 2.2.1,HTC,Wildfire,Android OS 2.1,mobile
420,Nokia N80,f,berlin,Notiz: Kein Akku vorhanden,unspecified,unspecified,unspecified,unspecified
429,Samsung Wave 2,f,berlin,Model: GT-S8530\nOS: Bada 1.2,unspecified,unspecified,unspecified,unspecified
352,Apple iPad 2 (1) (16GB  WiFi),t,berlin,IMEI: 01 266700 951162 9\nSeriennummer: DLXF93PMDFJ1\nVersion: iOS 7 Golden Master,Apple,iPad,iOS 4.32,tablet
434,Nokia Lumia 920,t,berlin,IMEI: 354149051124755  \nMAC 34-C8-03-B4-63-F0\nVersion: WP 8.0 \n\n\n-Ladegerät,Nokia,Lumia 920,Windows Phone 8.0,mobile
430,Blackberry 9700 (QA Only),t,berlin,Modell: Bold 2\nIMEI: 354255045664739\nOS: 5.0,Research In Motion,BlackBerry 9700,BlackBerry OS 4.0,mobile
346,Apple iPad 1 (3) (16GB  WiF),t,berlin,IMEI: 01 222400 954181 6\nSeriennummer: GB020QSXA90\nVersion: iOS 5.1.1,Apple,iPad,iOS 5.11,tablet
376,Apple iPhone 4 (8) (16GB),t,berlin,IMEI:012421005250984\nSeriennummer:7R0340GEA4S\nVersion: iOS 5.1.1,Apple,iPhone,iOS 5.11,mobile
351,Apple iPad 1 (7) (16GB  WiFi+ 3G),t,berlin,IMEI: 01 243500 3035957\nSeriennummer: GB104GCVA90\nVersion: 5.1.1,Apple,iPad,iOS 5.1,tablet
417,Samsung Wave 1 (Testgerät),t,berlin,Model: GT-S8500\n\nSAMSUNG TESTGERÄT\n\nOS: Bada 1.0\n\nIMEI: 35922303012785/1,Samsung,GT-S8500,Bada 1.0,mobile
386,Apple iPhone 5 (2) (16GB),t,berlin,IMEI: 013347007417520\nSeriennummer: C38JHW06DTWD\nVersion: iOS 7.0,Apple,iPhone,iOS 6.0,mobile
366,Apple iPhone 3GS (9) (8GB),t,berlin,IMEI: 012268003610143\nSeriennummer: 870381FLEDG\nVersion: iOS 6.0,Apple,iPhone,iOS 7.0,mobile
363,Apple iPhone 3GS (7) (16GB),t,berlin,IMEI: 012162004896290\nSeriennummer: 810148JP3NP\nVersion: iOS 3.1.3,Apple,iPhone,iPhone OS 3.13,mobile
365,Apple iPhone 3GS (8) (32GB),t,berlin,IMEI: 012268009023440\nSeriennummer: 88022AQZ3NR\nVersion: iOS 5.1.1,Apple,iPhone,iOS 5.11,mobile
358,Apple iPhone 3G (1) (8GB),t,berlin,IMEI: 011713008406832\nSeriennummer: 82833J6AY7H\nVersion: iOS 3.1.3,Apple,iPhone,iPhone OS 3.13,mobile
340,BlackBerry 9520,t,berlin,Modell: Storm 2\nOS: 5.0\nIMEI: 356297030457180,Research In Motion,BlackBerry 9520,BlackBerry OS 4.0,mobile
374,Apple iPhone 4 (6) (16GB),t,berlin,IMEI:012417003891688\nSeriennummer:790378K8A4S\nVersion: iOS 4.3.5,Apple,iPhone,iOS 4.35,mobile
395,Apple iPod 4G (2) (8BG),t,berlin,Seriennummer: C3VDDCY0DCP7\nVersion: iOS 4.1,Apple,iPod Touch,iOS 4.1,mobile
394,Apple iPod 4G (1) (8GB),t,berlin,Seriennummer:C3LDF78WDCP7\nVersion:iOS 5.1.1,Apple,iPod Touch,iOS 5.11,mobile
438,Samsung Wave M GT-S7250,f,berlin,IMEI: 357776040098778\nSeriennummer: R22B947078H\nVersion: bada 2.011,Unspecified,Mobile,Mobile OS 0.0,mobile
432,Samsung Galaxy SII (2) GT-I9100G,t,berlin,Seriennummer: RF1C34WVPTY\nVersion: Android 2.3.6\nIMEI: 358401047866262,Samsung,GT-I9100 Galaxy S2,Android OS 2.36,mobile
298,HTC Legend,t,berlin,IMEI: 354316038219327\nSeriennummer: SH0AHNX02325\nVersion: Android 2.1 -update 1,HTC,Legend,Android OS 2.1,mobile
303,HTC Wildfire A3333,t,berlin,IMEI: 359028030743361\nSeriennummer: HT06MPY06683\nVersion: Android 2.2.1,HTC,Wildfire,Android OS 2.21,mobile
387,HTC 7 Pro T7576,t,berlin,IMEI: 353723040095978\nSeriennummer: HT11ET100157\nVersion: WP 7,HTC,7 Pro,Windows Phone 7.0,mobile
437,Samsung Wave 3 GT-8600,f,berlin,IMEI: 358065040052798\nSeriennummer: R24B854683M\nVersion: Bada 2.OS 8600XXKHB,Samsung,GT-S8600,Bada 2.0,mobile
426,Samsung Wave 2 (2) GT-S8530,t,berlin,Seriennummer: RWBA09649X\nVersion: Bada 1.2\nIMEI: 358888043178504,Samsung,GT-S8530,Bada 1.2,mobile
425,Samsung Wave 2 (1) GT-S8530,t,berlin,Seriennummer: RUPB190804V\nVersion: Bada 1.2\nIMEI: 355082041833053,Samsung,GT-S8530,Bada 1.2,mobile
402,Samsung Omnia 7 i8700,t,berlin,IMEI: 353679040514006\nSeriennummer: R5XZB01984Z\nVersion: WP 7.5,Samsung,GT-i8700,Windows Phone 7.5,mobile
439,HTC Cha Cha A810e,t,berlin,IMEI:055746042715499\nSeriennummer: HT16LV411572\nVersion: Android 2.3.5,HTC,ChaCha,Android OS 2.35,mobile
539,BlackBerry Q10,t,cologne,Smartphone. WLAN-Unterstüzung.\nIMEI-Nr.: 356760051956356\nEntsperrungs-Code: 8809.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- USB-Kabel\n- Stromnetzstecker,BlackBerry,Q5/Q10,BlackBerry OS 10.1,mobile
304,LG E720 Optimus Chic,t,berlin,IMEI: 355047040009831\nSeriennummer: 010KPVH000983\nVersion: Android 2.2,Unspecified,Android,Android OS 2.2,mobile
407,Sony Ericsson Xperia X1 i,t,berlin,IMEI: 357263021879864\nSeriennummer: GT20005EJY\nVersion: WinMob 6.1,Sony Ericsson,X1i,Windows Mobile 6.0,mobile
385,Nokia N8,t,berlin,IMEI: 355361047341471\nSeriennummer: \nVersion: Symbian^3,Nokia,N8,Symbian Platform 3.0,mobile
